Model,Time1,Time2,Status
bayesglm,1.237,0.0206166666666667,success
glm,0.807,0.01345,success
blackboost,78.858,1.3143,success
cforest,654.628,10.9104666666667,success
ctree,3.21600000000001,0.0536000000000001,success
ctree2,7.37800000000004,0.122966666666667,success
BstLm,6.09500000000003,0.101583333333334,success
bstSm,232.078,3.86796666666667,success
bstTree,96.2879999999999,1.6048,success
C5.0,64.2729999999999,1.07121666666667,success
C5.0Cost,115.875,1.93125,success
C5.0Rules,4.02099999999996,0.067016666666666,success
C5.0Tree,3.82599999999979,0.0637666666666632,success
CSimca,1.923,0.03205,success
Linda,32.2659999999998,0.537766666666664,success
QdaCov,23.4880000000001,0.391466666666668,success
rda,18.299,0.304983333333333,success
dnn,180.426,3.0071,success
dwdLinear,1.74000000000001,0.0290000000000002,success
dwdPoly,919.727,15.3287833333333,success
dwdRadial,111.397,1.85661666666667,success
gaussprLinear,2431.446,40.5241,success
bayesglm,1.274,0.0212333333333333,success
glm,0.665999999999999,0.0111,success
blackboost,79.276,1.32126666666667,success
cforest,664.236,11.0706,success
ctree,3.45900000000006,0.057650000000001,success
ctree2,7.12299999999993,0.118716666666666,success
BstLm,5.95600000000002,0.099266666666667,success
bstSm,235.572,3.9262,success
bstTree,97.849,1.63081666666667,success
C5.0,67.1559999999999,1.11926666666667,success
C5.0Cost,118.231,1.97051666666667,success
C5.0Rules,4.33100000000013,0.0721833333333355,success
C5.0Tree,4.18099999999981,0.0696833333333302,success
CSimca,1.69000000000005,0.0281666666666676,success
Linda,33.0620000000001,0.551033333333335,success
QdaCov,24.232,0.403866666666666,success
rda,18.5469999999998,0.309116666666663,success
dnn,188.387,3.13978333333333,success
dwdLinear,1.80600000000004,0.0301000000000007,success
dwdPoly,924.563,15.4093833333333,success
dwdRadial,112.124,1.86873333333333,success
gaussprLinear,2703.859,45.0643166666667,success
bayesglm,2.113,0.0352166666666667,success
glm,0.715,0.0119166666666667,success
blackboost,85.42,1.42366666666667,success
cforest,640.96,10.6826666666667,success
ctree,3.327,0.05545,success
ctree2,7.40500000000009,0.123416666666668,success
BstLm,6.03399999999999,0.100566666666667,success
bstSm,233.526,3.8921,success
bstTree,95.7690000000001,1.59615,success
C5.0,59.751,0.99585,success
C5.0Cost,113.079,1.88465,success
C5.0Rules,3.80700000000002,0.0634500000000003,success
C5.0Tree,3.59100000000012,0.059850000000002,success
CSimca,1.73599999999988,0.0289333333333313,success
Linda,32.4690000000001,0.541150000000001,success
QdaCov,23.6399999999999,0.393999999999998,success
rda,18.4630000000002,0.30771666666667,success
dnn,181.583,3.02638333333333,success
dwdLinear,1.89800000000014,0.0316333333333356,success
dwdPoly,1062.997,17.7166166666667,success
dwdRadial,123.396,2.0566,success
